Categorie,Symptome,Cause,Solution
Comportement,Frottements contre les parois ou nage nerveuse (Flash),Parasites externes (Trichodina ou Gyrodactylus),Bain de sel (NaCl) : 5 à 10 g/L pendant 15-30 min. Améliorer l'eau.
Comportement,Nage léthargique ou tourne en rond (Pipage),Mauvaise qualité d'eau (Manque O2) ou Parasites branchiaux,Vérifier l'Oxygène et les Nitrites. Si parasites : Praziquantel.
Comportement,Cannibalisme (attaques entre poissons),Disparité de taille (Les gros mangent les petits),Calibrage (Tri) impératif. Nourrir à satiété.
Apparence Externe,Points blancs sur la peau,Maladie des points blancs (Ichthyophthirius),Monter la température à 30°C pendant 3 jours + Traitement au sel.
Apparence Externe,Mousse blanche sur la peau (Lésions cotonneuses),Champignons (Saprolegnia) suite blessure,Manipuler avec douceur. Bains antifongiques.
Apparence Externe,Ulcères rouges ou plaies ouvertes,Infection bactérienne (Aeromonas) liée au stress,Antibiotiques (Oxytetracycline) dans l'aliment. Désinfection.
Apparence Externe,Tête fissurée ou enflée,Carence en Vitamine C (Maladie du crâne brisé),Changer pour un aliment riche en Vitamine C.
Abdomen & Organes,Gros ventre gonflé (Hydropisie),Infection bactérienne interne avec liquide,Isoler les malades. Antibiotique préventif pour les autres.
Abdomen & Organes,Foie jaunâtre avec kystes,Parasites internes (Trématodes),Éliminer les escargots des étangs. Bien cuire le poisson.
Abdomen & Organes,Vers visibles dans l'intestin,Vers parasites (Nématodes),Vermifuge (Levamisole) mélangé à l'aliment.
Technique,Acidité (pH bas) après pluie,Chute du pH (Pluies acides ou sol argileux),Chulage : Mettre de la Chaux agricole sur les digues.
Technique,Manque d'Oxygène (Pipage le matin),Surcharge organique (trop d'aliment/algues),Arrêt nourrissage immédiat. Renouveler l'eau.
Technique,Eau trop verte (Soupe de pois),Excès d'engrais ou d'aliment,Arrêter la fertilisation. Ajouter de l'eau claire.
Technique,Refus de s'alimenter (Anorexie),Choc thermique ou Stress,Ne pas forcer. Nourrir aux heures chaudes (11h-15h).
Technique,Fuites d'eau (baisse rapide),Digues mal compactées ou trous de rats,Compacter les digues (argile). Bouchage des trous.
